LATITUDE,LONGITUD,ST_CASE,VE_TOTAL,DAY,MONTH,FATALS,DRUNK_DR,State
33.8786,-87.3253,10001,1,1,1,1,1,1
34.9104,-86.9087,10002,1,1,1,1,0,1
32.1420,-85.7584,10003,1,1,1,1,1,1
31.4398,-85.5103,10004,1,4,1,1,1,1
31.3193,-85.5151,10005,2,7,1,1,0,1
33.4384,-85.3892,10006,1,8,1,1,0,1
34.7730,-86.5276,10007,1,8,1,1,0,1
33.4624,-86.8709,10008,1,3,1,1,0,1
33.2361,-86.8139,10009,1,13,1,1,0,1
34.7583,-87.6075,10010,2,5,1,1,0,1
34.7660,-86.8792,10011,2,7,1,1,0,1
34.3691,-86.2888,10012,3,9,1,1,0,1
32.5517,-85.7446,10013,1,10,1,1,1,1
32.1627,-85.7140,10014,1,11,1,1,1,1
33.9641,-87.6056,10015,1,11,1,1,0,1
32.6182,-85.3713,10016,2,13,1,1,0,1
30.5059,-88.2339,10017,1,14,1,1,0,1
32.5243,-86.6721,10018,1,16,1,1,1,1
33.2293,-86.2692,10019,1,19,1,1,0,1
33.4658,-86.0499,10020,2,15,1,1,0,1
33.5660,-86.5210,10021,2,23,1,1,0,1
33.8402,-87.3315,10022,1,26,1,1,0,1
32.2171,-85.9187,10023,1,12,1,1,1,1
31.8394,-85.2207,10024,1,2,1,1,0,1
33.0889,-87.6745,10025,1,15,1,2,1,1
33.4646,-86.9416,10026,1,13,1,1,0,1
30.4727,-87.6663,10027,2,17,1,1,0,1
32.4306,-86.5179,10028,1,10,1,1,1,1
31.1613,-85.1905,10029,1,23,1,1,0,1
32.7808,-86.4702,10030,2,24,1,5,0,1
33.9213,-87.8672,10031,1,24,1,1,0,1
33.7409,-85.8829,10032,1,25,1,1,1,1
32.8764,-85.8776,10033,1,23,1,2,1,1
30.6551,-87.9071,10034,6,15,1,1,1,1
33.5819,-86.9223,10035,2,28,1,1,0,1
30.8544,-88.1938,10036,2,19,1,2,0,1
30.7317,-87.7845,10037,1,26,1,1,0,1
30.6121,-88.0776,10038,1,27,1,1,0,1
30.5520,-88.1048,10039,1,29,1,1,1,1
33.4309,-86.7123,10040,1,20,1,1,0,1
34.3779,-85.7557,10041,1,28,1,1,1,1
33.1060,-87.4670,10042,1,31,1,1,0,1
34.5103,-85.7604,10043,1,2,2,1,0,1
33.3981,-86.7776,10044,1,31,1,1,0,1
30.6248,-88.1246,10045,1,31,1,1,0,1
32.8468,-85.1868,10046,1,8,2,1,0,1
30.6682,-88.0543,10047,1,22,1,1,1,1
30.9723,-87.6395,10048,1,24,1,2,0,1
33.5299,-86.8808,10049,2,29,1,1,0,1
30.8435,-88.3952,10050,1,31,1,1,0,1
31.8234,-85.9604,10051,2,1,2,1,0,1
34.7296,-86.8561,10052,1,9,2,1,0,1
33.0382,-86.2256,10053,1,1,2,1,0,1
32.4478,-87.9639,10054,2,3,2,1,0,1
34.8679,-86.5713,10055,1,4,2,1,0,1
30.5210,-87.4586,10056,1,8,2,1,1,1
34.4523,-85.7816,10057,3,4,2,1,0,1
31.8268,-86.6481,10058,2,8,2,1,0,1
34.6531,-87.5281,10059,1,10,2,1,0,1
34.5224,-85.8272,10060,2,10,2,1,0,1
34.0627,-87.8259,10061,1,13,2,1,1,1
34.7689,-86.4939,10062,1,14,2,1,0,1
31.2875,-85.7004,10063,1,1,2,1,1,1
30.7010,-88.1235,10064,1,4,2,1,0,1
