LATITUDE,LONGITUD,ST_CASE,VE_TOTAL,DAY,MONTH,FATALS
40.6724,-74.1062,340001,2,2,1,1
40.2175,-74.7515,340002,1,11,1,1
41.1029,-74.2612,340003,2,14,1,1
39.4764,-74.5801,340004,3,3,1,1
40.2917,-74.7750,340005,2,15,1,1
40.4757,-74.5765,340006,2,4,1,1
40.5822,-74.6222,340007,2,5,1,1
40.7195,-74.0780,340008,1,3,1,1
39.9475,-75.0874,340009,4,17,1,1
40.9569,-74.2339,340010,2,15,1,1
40.5908,-74.4845,340011,2,5,1,1
40.2318,-74.7783,340012,1,16,1,1
40.6818,-74.5458,340013,1,7,1,1
40.0342,-74.9691,340014,1,16,1,1
39.5409,-74.6335,340015,1,15,1,1
40.8827,-74.2250,340016,1,28,1,1
40.1363,-74.3227,340017,1,6,1,1
40.9118,-74.7136,340018,2,8,1,1
41.0075,-74.2100,340019,1,7,1,1
39.6871,-74.8339,340020,1,15,1,1
40.4077,-74.1984,340021,1,10,1,1
39.7528,-75.1362,340022,1,18,1,1
39.2661,-74.6494,340023,2,12,1,1
40.7342,-74.1664,340024,1,18,1,1
40.5775,-74.3312,340025,5,25,1,1
40.7247,-74.3074,340027,1,3,2,1
40.0530,-74.1789,340028,1,5,1,1
39.9114,-74.3006,340029,1,8,1,1
39.8963,-74.9908,340030,1,22,1,3
40.8790,-74.1528,340031,1,23,1,1
39.7507,-74.7270,340032,2,27,1,1
40.6093,-74.2488,340033,1,22,1,1
40.8624,-74.7508,340034,2,19,2,1
40.5626,-74.2999,340035,2,22,2,1
39.4927,-74.6050,340036,1,6,2,1
40.7822,-74.0576,340037,1,21,2,1
39.8377,-74.9369,340038,1,10,1,1
40.5546,-74.6722,340039,2,25,2,1
39.8564,-75.0281,340040,2,23,2,1
39.9532,-74.5176,340041,1,22,2,1
40.8960,-74.6343,340042,1,4,2,1
38.9988,-74.8510,340043,1,6,2,1
41.0842,-74.1684,340044,2,26,2,1
39.4377,-75.1738,340045,1,26,2,1
39.8707,-74.9990,340046,3,6,1,1
40.3501,-74.6259,340047,1,22,2,2
40.886,-74.5558,340048,1,27,2,1
39.4161,-74.5583,340049,1,28,2,1
41.1564,-74.5621,340050,1,10,2,1
39.4154,-74.5547,340051,2,25,2,1
40.0095,-74.8712,340052,1,28,2,1
40.5739,-74.3361,340053,1,10,2,1
40.4378,-74.3268,340054,2,12,2,1
40.4290,-74.4223,340055,1,15,2,1
40.0818,-74.1994,340056,1,16,2,1
40.7118,-74.1309,340057,1,9,3,1
40.7121,-74.2261,340058,1,18,2,1
40.2486,-74.7380,340059,1,14,3,1
40.6673,-74.6365,340060,2,11,3,1
40.5776,-74.5824,340061,1,11,3,1
39.6916,-74.9618,340062,1,13,3,1
40.0439,-74.9074,340063,1,9,3,1
40.4298,-74.6173,340064,1,16,3,1
40.6432,-74.2723,340065,1,14,3,1
40.4914,-74.4827,340066,2,10,2,1
40.9010,-73.9995,340067,1,18,2,1
40.7693,-74.1421,340068,1,18,3,1
39.7411,-75.0441,340069,1,27,1,1
39.5452,-74.7252,340070,2,20,3,2
39.6952,-75.0204,340071,1,24,3,1
38.9925,-74.9237,340072,1,2,3,1
40.8160,-73.9816,340073,1,21,3,1
