LATITUDE,LONGITUD,ST_CASE,VE_TOTAL,DAY,MONTH,FATALS
40.8363,-73.8699,360001,2,1,1,1
43.2509,-76.6723,360002,2,2,1,1
42.9115,-77.9759,360003,1,3,1,1
44.6056,-75.1303,360004,1,3,1,1
40.9280,-73.8401,360005,1,4,1,1
43.0179,-78.4716,360006,1,5,1,1
43.5080,-76.1553,360007,1,6,1,1
40.7044,-73.6240,360008,1,5,1,1
41.6296,-73.6993,360009,2,3,1,1
43.1815,-77.5992,360010,2,6,1,1
43.1310,-76.1755,360011,1,8,1,1
40.8016,-73.4608,360012,1,9,1,1
43.5713,-76.0334,360013,1,9,1,1
42.6921,-73.6862,360014,2,7,1,1
40.8250,-73.3657,360015,1,7,1,1
41.6614,-74.0150,360016,2,9,1,1
42.9381,-77.0693,360017,1,10,1,2
40.6551,-73.6701,360018,3,12,1,2
41.3495,-74.3142,360019,1,12,1,1
43.4929,-76.3028,360020,2,12,1,1
42.9347,-78.6969,360021,2,9,1,1
41.4405,-74.4615,360022,2,12,1,1
42.9467,-76.9900,360023,1,14,1,1
44.2070,-75.0602,360024,1,14,1,1
40.6646,-73.7997,360025,1,13,1,1
43.2912,-77.9082,360026,1,14,1,1
43.2604,-78.7404,360027,1,15,1,1
40.5818,-73.8493,360028,2,14,1,1
42.9284,-77.4131,360029,3,16,1,1
40.7101,-73.4288,360030,1,16,1,1
41.2644,-73.5292,360031,2,16,1,1
42.8364,-73.8207,360032,1,17,1,1
43.0978,-73.3866,360033,1,18,1,1
41.7224,-73.9105,360034,1,18,1,1
42.6759,-76.2861,360035,2,18,1,1
41.9380,-74.9280,360036,2,18,1,1
40.9574,-72.5729,360037,1,13,1,1
41.8311,-74.7382,360038,1,18,1,1
41.9785,-73.7448,360039,1,18,1,1
40.7888,-73.7869,360040,1,19,1,1
41.9900,-73.6864,360041,1,20,1,1
43.2279,-73.5950,360042,1,22,1,2
40.6562,-73.5905,360043,1,13,1,1
40.6537,-73.5698,360044,3,22,1,1
40.7504,-73.9873,360045,1,23,1,1
43.4578,-76.1159,360046,2,23,1,1
42.1574,-75.0622,360047,1,5,1,1
42.4585,-76.5263,360048,1,24,1,1
43.1191,-78.5711,360049,2,24,1,2
42.4567,-76.4783,360050,1,26,1,1
99.9999,999.9999,360051,2,26,1,1
43.1399,-73.7081,360052,1,28,1,1
41.9142,-73.8222,360053,2,23,1,1
40.7656,-73.5459,360054,1,28,1,1
40.7092,-73.7972,360055,1,29,1,1
99.9999,999.9999,360056,1,6,2,1
42.9023,-77.4695,360057,2,30,1,2
42.3489,-76.9539,360058,2,30,1,1
40.6628,-73.8811,360059,1,9,2,1
42.6655,-73.7733,360060,1,12,2,1
42.5110,-78.7514,360061,2,3,2,1
40.7545,-74.0068,360062,2,11,2,1
99.9999,999.9999,360063,2,13,2,1
41.1124,-73.7123,360064,1,12,2,1
40.7636,-73.6466,360065,1,4,1,1
42.9592,-73.4267,360066,1,14,2,1
40.7722,-73.6257,360067,1,15,2,1
43.2038,-75.4493,360068,1,17,2,1
40.9104,-73.5616,360069,1,15,2,1
43.4125,-76.4448,360070,2,17,2,1
40.6480,-73.8820,360071,1,19,2,1
41.5268,-74.2354,360072,1,10,1,1
99.9999,999.9999,360073,2,14,2,2
41.0909,-73.9839,360074,1,18,2,1
43.2037,-76.9232,360075,2,19,2,1
40.6662,-73.7920,360076,2,20,2,1
42.7312,-77.8575,360077,2,19,2,1
41.5913,-74.3124,360078,2,16,1,1
40.8847,-73.8404,360079,2,4,1,1
40.8248,-73.8916,360080,2,9,1,1
41.7607,-74.8694,360081,1,18,1,1
40.7867,-72.8012,360082,1,3,1,1
40.8042,-73.2689,360083,1,15,1,1
41.5830,-73.5911,360084,1,22,1,1
40.7961,-73.3421,360085,1,18,1,1
40.8001,-73.6823,360086,1,14,1,1
40.7839,-72.9170,360087,3,18,1,1
40.7689,-73.3489,360088,1,26,1,1
43.0669,-76.1705,360089,3,18,1,1
43.0061,-76.1850,360090,1,16,1,1
40.7292,-73.7453,360091,1,16,1,1
42.4474,-76.5671,360092,2,28,1,1
40.6330,-73.9721,360093,4,5,1,1
99.9999,999.9999,360094,5,2,2,2
40.6674,-73.7828,360095,2,4,2,1
40.7640,-73.9666,360096,1,3,1,1
41.0862,-73.7880,360097,1,3,2,6
43.2522,-75.1846,360098,2,5,2,1
40.6407,-73.6596,360099,1,18,2,1
40.6315,-74.1499,360100,1,17,2,1
42.4729,-75.9760,360101,1,20,2,1
42.9015,-78.1921,360102,2,21,2,1
40.6175,-73.9638,360103,1,20,2,1
40.7433,-73.8888,360104,1,22,2,1
99.9999,999.9999,360105,1,1,3,1
40.5904,-74.1069,360106,1,2,3,1
43.2323,-76.3520,360107,2,2,3,1
42.9027,-76.0160,360108,1,15,1,1
99.9999,999.9999,360109,2,15,1,1
40.7795,-73.9597,360110,1,23,1,1
41.1091,-74.0648,360111,1,25,2,1
42.8617,-76.5740,360112,2,24,2,1
41.6707,-74.1048,360113,1,3,3,1
99.9999,999.9999,360114,1,4,3,1
42.7643,-73.8860,360115,1,6,3,1
99.9999,999.9999,360116,2,9,3,1
40.7140,-73.5019,360117,1,15,3,1
40.9587,-72.6771,360118,1,16,3,1
43.2721,-78.7902,360119,1,11,3,1
41.5718,-74.7664,360120,1,17,3,1
42.9740,-75.8367,360121,1,14,3,1
40.5987,-74.0007,360122,1,16,3,1
40.8400,-73.1664,360123,2,8,1,1
40.7395,-73.3672,360124,1,12,1,1
40.7818,-73.0841,360125,2,30,1,1
40.8284,-73.4013,360126,2,22,1,1
40.8687,-73.0010,360127,2,11,2,1
40.8260,-73.0710,360128,1,23,1,1
40.7652,-73.8888,360129,1,17,3,1
42.2262,-76.4943,360130,2,20,3,1
40.7568,-73.3291,360131,1,28,2,1
40.7594,-73.3282,360132,1,7,2,1
42.9156,-76.8601,360134,2,18,3,1
40.5615,-74.1982,360135,2,20,3,2
40.7062,-73.6808,360136,1,21,3,1
44.8270,-74.3427,360137,2,17,3,1
40.8390,-73.9133,360138,2,20,3,2
40.7531,-73.7926,360139,1,1,4,1
42.6896,-73.8642,360140,1,1,4,1
99.9999,999.9999,360141,1,2,4,1
40.6716,-73.9503,360142,2,9,3,1
40.5398,-74.1869,360143,1,24,3,1
42.7883,-75.0062,360144,1,18,1,1
43.0019,-75.9766,360145,1,25,3,1
40.7766,-73.7136,360146,1,26,3,1
40.7126,-73.8993,360147,2,3,2,1
42.6930,-73.8308,360148,1,26,3,1
40.8131,-73.9503,360149,2,2,4,1
43.0307,-77.3419,360150,1,3,4,1
42.9687,-73.8225,360151,3,3,4,1
40.7166,-73.7997,360152,1,5,4,2
43.0506,-77.1916,360153,1,5,4,1
40.8254,-73.9234,360154,1,5,4,1
40.6498,-73.8885,360155,1,25,3,1
43.1444,-78.8175,360156,2,8,4,1
40.7837,-73.7044,360157,3,9,4,1
40.7509,-73.7489,360158,2,9,4,1
42.7496,-77.9908,360159,2,5,3,1
42.6558,-73.7837,360160,2,3,4,1
40.6742,-73.3966,360161,1,1,1,1
40.8742,-73.9102,360162,1,23,2,1
40.8444,-73.9028,360163,1,26,2,1
99.9999,999.9999,360164,2,29,3,1
42.7169,-73.6921,360165,1,17,1,1
40.7565,-73.9472,360166,1,17,1,1
40.5993,-73.7621,360167,1,31,1,1
40.6279,-74.0399,360168,1,27,2,1
42.2003,-74.8195,360169,1,6,4,1
99.9999,999.9999,360170,1,20,2,1
42.6441,-73.6983,360171,2,11,4,1
40.6716,-73.6107,360172,1,12,4,1
42.5530,-78.7215,360173,1,13,4,1
43.1868,-77.6136,360174,1,15,4,1
40.6772,-73.9302,360175,2,12,4,1
40.6413,-73.9890,360176,1,5,1,1
40.6806,-73.9533,360177,1,18,4,1
40.9058,-73.9043,360178,1,2,4,1
99.9999,999.9999,360179,2,14,4,1
40.8043,-73.2871,360180,1,9,3,1
99.9999,999.9999,360181,1,14,3,1
40.8814,-73.8487,360182,2,18,4,1
40.9218,-73.0171,360183,1,15,3,1
40.8385,-73.1118,360184,1,17,3,1
40.8118,-73.0838,360185,1,21,3,2
40.8729,-73.1237,360186,1,23,3,1
40.7956,-73.2973,360187,4,30,3,1
40.7715,-73.6257,360188,2,6,3,2
40.8604,-73.2150,360189,2,13,3,1
